m,trial,total_distance,fitness,balance_metric,exec_time,memory_current_MB,memory_peak_MB,converged_gen,convergence_speed
1,1,779.5700000000003,779.5700000000003,0.0,126.71003699302673,0.992587,1.707209,49,16.857142857142847
1,2,721.5400000000003,721.5400000000003,0.0,108.54242372512817,0.78785,1.511571,27,31.1381481481481
1,3,799.5600000000003,799.5600000000003,0.0,139.99594926834106,0.70489,1.427905,22,38.00454545454546
1,4,852.9000000000002,852.9000000000002,0.0,168.5889971256256,0.849519,1.582455,11,69.00636363636364
1,5,655.5000000000003,655.5000000000003,0.0,151.2432804107666,0.832963,1.574282,17,57.57705882352943
1,6,848.3899999999995,848.3899999999995,0.0,113.59843564033508,0.652021,1.39239,27,28.42185185185185
1,7,676.66,676.66,0.0,119.73819756507874,0.895715,1.56017,33,29.64212121212121
1,8,791.5700000000003,791.5700000000003,0.0,115.9853241443634,0.745286,1.408044,30,26.882999999999996
1,9,916.1099999999999,916.1099999999999,0.0,115.46798276901245,0.95576,1.619719,24,28.210416666666646
1,10,891.6199999999999,891.6199999999999,0.0,112.04812216758728,1.029384,1.692991,17,42.23411764705878
1,11,636.09,636.09,0.0,114.4155421257019,0.746288,1.410541,21,44.996666666666655
1,12,672.4400000000002,672.4400000000002,0.0,115.13888478279114,0.880548,1.550309,32,29.105312499999993
1,13,789.32,789.32,0.0,114.47595763206482,0.746279,1.416084,27,31.659259259259237
1,14,601.8900000000002,601.8900000000002,0.0,190.54277896881104,0.927839,1.604425,17,60.26882352941172
1,15,617.2300000000001,617.2300000000001,0.0,265.0557601451874,0.65001,1.425495,21,46.59714285714285
1,16,843.3199999999997,843.3199999999997,0.0,209.33048295974731,0.843354,1.540255,19,40.15789473684212
1,17,739.5800000000002,739.5800000000002,0.0,167.60192370414734,0.794193,1.496715,35,25.135714285714286
1,18,966.69,966.69,0.0,164.74214839935303,0.738833,1.443578,35,18.63942857142856
