m,trial,total_distance,fitness,balance_metric,exec_time,converged_gen,convergence_speed
1,1,1290.7200000000007,1290.7200000000007,0.0,6.246391296386719,35,10.24028571428569
1,2,1233.5999999999997,1233.5999999999997,0.0,5.270474433898926,41,9.652926829268297
1,3,1263.2499999999993,1263.2499999999993,0.0,3.806797981262207,34,8.606470588235304
1,4,1348.9999999999993,1348.9999999999993,0.0,3.7923929691314697,29,8.696206896551741
1,5,1313.9899999999996,1313.9899999999996,0.0,3.359232187271118,33,9.956666666666699
1,6,1233.3899999999996,1233.3899999999996,0.0,4.25898551940918,39,9.531538461538457
1,7,1257.9,1257.9,0.0,4.257250547409058,39,8.871538461538462
1,8,1293.8900000000006,1293.8900000000006,0.0,3.573974609375,34,8.968529411764681
1,9,1262.9399999999998,1262.9399999999998,0.0,3.3999123573303223,50,7.19579999999999
1,10,1316.6999999999998,1316.6999999999998,0.0,4.563591003417969,43,7.388139534883711
1,11,1158.7999999999997,1158.7999999999997,0.0,3.912975549697876,47,10.12148936170212
1,12,1184.8900000000008,1184.8900000000008,0.0,3.5511789321899414,48,8.535416666666649
1,13,1318.0100000000007,1318.0100000000007,0.0,3.265042304992676,34,8.668823529411739
1,14,1180.0999999999997,1180.0999999999997,0.0,3.263035297393799,50,9.032399999999988
1,15,1301.9999999999995,1301.9999999999995,0.0,3.9001259803771973,38,8.281842105263147
1,16,1261.9500000000003,1261.9500000000003,0.0,4.493017673492432,40,9.083499999999987
1,17,1355.4299999999998,1355.4299999999998,0.0,3.9846839904785156,32,7.558124999999997
1,18,1342.0400000000009,1342.0400000000009,0.0,3.4069955348968506,22,12.644999999999971
1,19,1389.0500000000006,1389.0500000000006,0.0,3.807084560394287,19,12.935263157894724
1,20,1262.4099999999994,1262.4099999999994,0.0,4.581356763839722,35,9.216857142857192
2,1,1516.98,759.8400000000001,2.7000000000003865,5.361130952835083,27,4.018518518518515
2,2,1455.4699999999998,730.49,5.510000000000105,5.3432297706604,23,3.7247826086956404
2,3,1474.57,740.14,5.710000000000036,3.851128339767456,27,4.05962962962963
2,4,1366.7099999999996,683.3599999999999,0.010000000000104592,3.850006103515625,38,4.461315789473686
2,5,1487.6600000000003,746.4000000000001,5.139999999999986,3.6522538661956787,10,12.488
2,6,1373.5400000000002,687.8200000000003,2.100000000000364,4.0894341468811035,33,5.657878787878789
2,7,1394.8899999999999,698.65,2.409999999999968,3.3804402351379395,43,3.745581395348836
2,8,1435.2200000000003,718.8500000000001,2.480000000000018,3.7897894382476807,31,4.3664516129032265
2,9,1421.46,719.11,16.75999999999999,5.5903215408325195,27,4.594444444444439
2,10,1357.62,679.2799999999999,0.9399999999997135,3.2027530670166016,38,4.285000000000001
2,11,1501.6299999999999,753.5699999999998,5.5099999999997635,3.805953025817871,24,3.720000000000008
2,12,1427.22,714.2900000000001,1.3600000000001273,4.026801824569702,35,4.405999999999985
2,13,1368.61,687.3299999999997,6.0499999999995,3.136876106262207,34,4.783235294117651
2,14,1439.7699999999993,721.6599999999997,3.550000000000182,2.9655814170837402,28,4.432857142857147
2,15,1404.7400000000002,702.82,0.8999999999999773,3.4875099658966064,47,3.0993617021276565
2,16,1389.83,695.4900000000001,1.1500000000003183,3.18471097946167,31,4.82516129032259
2,17,1453.54,731.2499999999999,8.959999999999695,2.868755578994751,29,3.9182758620689695
2,18,1440.62,727.6700000000001,14.720000000000141,3.289512872695923,33,3.748484848484857
2,19,1534.4800000000002,771.1100000000001,7.740000000000009,3.21268892288208,13,6.897692307692314
2,20,1350.5300000000002,680.8800000000002,11.230000000000246,3.9098081588745117,26,6.361153846153832
3,1,1571.35,526.91,4.789999999999964,3.8596417903900146,26,2.461153846153851
3,2,1588.54,532.96,6.430000000000064,4.449684381484985,34,2.2676470588235302
3,3,1639.24,551.0799999999999,10.11999999999989,4.899272918701172,19,2.9442105263157865
3,4,1557.21,521.9000000000001,7.060000000000173,3.0096335411071777,34,2.02852941176471
3,5,1528.8200000000002,516.2800000000001,10.790000000000077,3.293743133544922,29,3.212758620689658
3,6,1561.35,521.57,2.810000000000059,3.3358471393585205,21,3.4214285714285673
3,7,1586.7800000000002,535.0500000000002,17.450000000000045,3.1446053981781006,32,2.0896874999999895
3,8,1395.73,466.86,2.499999999999943,3.7935242652893066,49,2.9363265306122424
3,9,1601.7699999999998,538.3699999999999,10.969999999999914,2.9399192333221436,22,2.1513636363636435
3,10,1607.2200000000003,536.2900000000002,1.3900000000002137,3.105741500854492,24,3.024166666666654
3,11,1488.92,499.6000000000002,7.5300000000002,3.1039602756500244,33,2.900606060606053
3,12,1574.6899999999998,529.3000000000001,9.520000000000095,2.888024091720581,25,1.9367999999999983
3,13,1474.3999999999999,493.41,5.520000000000039,3.128065347671509,30,3.5313333333333334
3,14,1676.1200000000003,566.2,17.62999999999988,3.373290538787842,25,1.4935999999999967
3,15,1609.8800000000003,537.1500000000001,1.3099999999999454,3.1708643436431885,21,1.7842857142857103
3,16,1595.79,537.6,9.530000000000086,3.434798002243042,22,2.618181818181809
3,17,1589.7899999999997,534.99,14.800000000000068,3.824193239212036,27,3.2322222222222217
3,18,1593.8799999999999,533.4800000000001,5.21000000000015,4.326997518539429,11,7.760000000000002
3,19,1622.3999999999999,541.97,2.9200000000000728,3.496027708053589,28,2.5607142857142873
3,20,1617.9200000000003,550.8800000000001,31.75999999999999,3.843663454055786,27,2.1388888888888933
